submission_id,is_training,trial_id,comments,languages,trial_type,pc_prag_analysis,rating_adopt,inferred_goal_strength,is_critical,sentence_after,prolific_session_id,context,experiment_end_time,rating_g,marker,trial_key,age,g_implied_analysis,question_adopt,pc_prag,display_order,scale_step,scale_min,trial_index,item_id,education,scale_max,topic,list_num,g_implied,adoption_likelihood,sentence_before,condition_index,prolific_pid,marker_assignment_source,experiment_duration,is_filler,prolific_study_id,rt,question_goal,recommended_action,responseTime,experiment_start_time
3610,true,training,,Deutsch,training,low,74,82,false,"im Arbeitsalltag, konzentriert zu bleiben.",69ad10e7e1735c0b213c626f,"Stell dir vor, ein Freund spricht mit dir über den Arbeitsalltag. In eurem Umfeld sehen die meisten das ähnlich: regelmäßige Pausen helfen dabei, sich besser zu konzentrieren.",1772949964546,82,ja,training,50,high,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",low,0,1,0,0,training,Höherer Abschluss,100,training,3,high,74,Regelmäßige Pausen helfen,,615323ff5ce68a5dbe37eebe,manual_training,161987,false,69aca37e417992637b6ed8da,17604,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",heute bewusst kurze Pausen einplanen,11481,1772949802559
3610,false,8,,Deutsch,critical,high,54,70,true,die regionale Wirtschaft nachhaltig.,69ad10e7e1735c0b213c626f,Dein/e Gesprächspartner/in spricht mit dir über Einkaufsgewohnheiten. In eurem gemeinsamen Umfeld gehen die Meinungen dazu weit auseinander.,1772949964546,70,soviel ich weiß,critical-8-c2-list3,50,low,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",high,1,1,0,1,8,Höherer Abschluss,100,lokalkauf,3,low,54,Der Einkauf bei lokalen Händlern stärkt,2,615323ff5ce68a5dbe37eebe,comprehension_marker_assignment_balanced.csv,161987,false,69aca37e417992637b6ed8da,10988,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",öfter bei lokalen Geschäften einkaufen,10988,1772949802559
3610,false,106,,Deutsch,filler,filler,67,66,false,die Konzentrationsfähigkeit.,69ad10e7e1735c0b213c626f,"Dein/e Gesprächspartner/in spricht mit dir. Du hast erwähnt, dass du dich nachmittags immer schlapp und unkonzentriert fühlst.",1772949964546,66,soviel ich weiß,filler-106-filler-list3,50,filler,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",,2,1,0,2,106,Höherer Abschluss,100,trinken,3,,67,Genügend Wasser zu trinken verbessert,,615323ff5ce68a5dbe37eebe,random_filler,161987,true,69aca37e417992637b6ed8da,9863,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",öfter ein Glas Wasser trinken,9863,1772949802559
3610,false,104,,Deutsch,filler,filler,77,75,false,"vielen Menschen, wach zu werden.",69ad10e7e1735c0b213c626f,"Dein/e Gesprächspartner/in spricht mit dir an der Kaffeemaschine im Büro. Du hast erzählt, dass du morgens immer sehr müde bist.",1772949964546,75,ja,filler-104-filler-list3,50,filler,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",,3,1,0,3,104,Höherer Abschluss,100,kaffee,3,,77,Ein Kaffee am Morgen hilft,,615323ff5ce68a5dbe37eebe,random_filler,161987,true,69aca37e417992637b6ed8da,11080,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",morgens eine kleine Kaffeepause einplanen,11080,1772949802559
3610,false,105,,Deutsch,filler,filler,66,86,false,der mentalen Gesundheit gut.,69ad10e7e1735c0b213c626f,Dein/e Gesprächspartner/in spricht mit dir über Arbeit und Erholung. Du arbeitest seit Monaten ohne Urlaub durch und bist erschöpft.,1772949964546,86,ja,filler-105-filler-list3,50,filler,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",,4,1,0,4,105,Höherer Abschluss,100,urlaub,3,,66,Regelmäßige Auszeiten tun,,615323ff5ce68a5dbe37eebe,random_filler,161987,true,69aca37e417992637b6ed8da,7001,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",dieses Jahr endlich Urlaub nehmen,7001,1772949802559
3610,false,5,,Deutsch,critical,high,64,77,true,entscheidend für die kognitive Leistungsfähigkeit.,69ad10e7e1735c0b213c626f,Dein/e Gesprächspartner/in spricht mit dir über Gesundheit und Wohlbefinden. In eurem gemeinsamen Umfeld gehen die Meinungen dazu stark auseinander.,1772949964546,77,ja,critical-5-c3-list3,50,high,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",high,5,1,0,5,5,Höherer Abschluss,100,schlaf,3,high,64,Ausreichend Schlaf ist,3,615323ff5ce68a5dbe37eebe,comprehension_marker_assignment_balanced.csv,161987,false,69aca37e417992637b6ed8da,6040,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",auf feste Schlafzeiten achten,6040,1772949802559
3610,false,103,,Deutsch,filler,filler,74,87,false,im Vergleich zu Fertiggerichten Geld.,69ad10e7e1735c0b213c626f,"Dein/e Gesprächspartner/in spricht mit dir über den Ernährungsalltag. Du hast erwähnt, dass dein Geld für Essen kaum reicht.",1772949964546,87,bekanntlich,filler-103-filler-list3,50,filler,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",,6,1,0,6,103,Höherer Abschluss,100,kochen,3,,74,Frisch Kochen spart,,615323ff5ce68a5dbe37eebe,random_filler,161987,true,69aca37e417992637b6ed8da,5784,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",öfter selbst kochen,5784,1772949802559
3610,false,3,,Deutsch,critical,low,63,93,true,den Stadtverkehr erheblich.,69ad10e7e1735c0b213c626f,"Dein/e Gesprächspartner/in spricht mit dir über Verkehrspolitik in eurer Stadt. In eurem gemeinsamen Umfeld sehen das die meisten ähnlich, dass ein ausgebautes Nahverkehrsnetz den Stadtverkehr erheblich entlastet.",1772949964546,93,bekanntlich,critical-3-c1-list3,50,high,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",low,7,1,0,7,3,Höherer Abschluss,100,stadtverkehr,3,high,63,Ein ausgebautes Nahverkehrsnetz entlastet,1,615323ff5ce68a5dbe37eebe,comprehension_marker_assignment_balanced.csv,161987,false,69aca37e417992637b6ed8da,8651,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",häufiger auf öffentliche Verkehrsmittel umsteigen,8651,1772949802559
3610,false,102,,Deutsch,filler,filler,51,71,false,gutes Licht die Augen.,69ad10e7e1735c0b213c626f,Dein/e Gesprächspartner/in spricht mit dir über Lesegewohnheiten. Du hast dich über Kopfschmerzen beim Lesen beklagt.,1772949964546,71,soviel ich weiß,filler-102-filler-list3,50,filler,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",,8,1,0,8,102,Höherer Abschluss,100,leselicht,3,,51,Beim Lesen schont,,615323ff5ce68a5dbe37eebe,random_filler,161987,true,69aca37e417992637b6ed8da,14931,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",dir eine bessere Leselampe anschaffen,14931,1772949802559
3610,false,2,,Deutsch,critical,low,52,70,true,die Gesundheit.,69ad10e7e1735c0b213c626f,"Dein/e Gesprächspartner/in spricht mit dir über Ernährungsgewohnheiten. In eurem gemeinsamen Umfeld teilen die meisten die Überzeugung, dass eine überwiegend pflanzliche Ernährung die Gesundheit fördert.",1772949964546,70,soviel ich weiß,critical-2-c0-list3,50,low,"Wie wahrscheinlich ist es, dass du die empfohlene Handlung dann auch tatsächlich umsetzt?",low,9,1,0,9,2,Höherer Abschluss,100,ernaehrung,3,low,52,Eine überwiegend pflanzliche Ernährung fördert,0,615323ff5ce68a5dbe37eebe,comprehension_marker_assignment_balanced.csv,161987,false,69aca37e417992637b6ed8da,5692,"Wie stark hast du den Eindruck, dass die Sprecherin möchte, dass du ihre Empfehlung befolgst?",mehr pflanzliche Lebensmittel in deinen Alltag einbauen,5691,1772949802559
